CustomerID,Country,Fav_weekday,Fav_month
13047.0,United Kingdom,Friday,March
14688.0,United Kingdom,Tuesday,February
17809.0,United Kingdom,Friday,March
16098.0,United Kingdom,Tuesday,September
18074.0,United Kingdom,Tuesday,January
17420.0,United Kingdom,Tuesday,June
16250.0,United Kingdom,Tuesday,January
12431.0,Australia,Friday,July
13705.0,United Kingdom,Monday,July
17924.0,United Kingdom,Thursday,March
13448.0,United Kingdom,Tuesday,November
15862.0,United Kingdom,Tuesday,January
16218.0,United Kingdom,Tuesday,January
14307.0,United Kingdom,Tuesday,January
17908.0,United Kingdom,Tuesday,January
12838.0,United Kingdom,Tuesday,January
13255.0,United Kingdom,Wednesday,November
16583.0,United Kingdom,Tuesday,January
18085.0,United Kingdom,Thursday,January
13758.0,United Kingdom,Tuesday,January
15983.0,United Kingdom,Tuesday,January
17968.0,United Kingdom,Tuesday,January
16210.0,United Kingdom,Wednesday,March
17897.0,United Kingdom,Monday,January
16552.0,United Kingdom,Friday,November
17951.0,United Kingdom,Monday,October
14729.0,United Kingdom,Tuesday,January
15012.0,United Kingdom,Monday,October
12868.0,United Kingdom,Thursday,May
17572.0,United Kingdom,Tuesday,January
14078.0,United Kingdom,Wednesday,August
12662.0,Germany,Wednesday,August
15525.0,United Kingdom,Tuesday,November
14237.0,United Kingdom,Tuesday,January
17905.0,United Kingdom,Tuesday,January
15485.0,United Kingdom,Sunday,September
16955.0,United Kingdom,Saturday,July
15350.0,United Kingdom,Tuesday,January
15605.0,United Kingdom,Tuesday,January
18144.0,United Kingdom,Tuesday,September
15922.0,United Kingdom,Tuesday,January
14594.0,United Kingdom,Tuesday,January
15165.0,United Kingdom,Tuesday,January
16456.0,United Kingdom,Tuesday,January
17643.0,United Kingdom,Tuesday,January
17873.0,United Kingdom,Tuesday,September
17760.0,United Kingdom,Friday,November
13468.0,United Kingdom,Tuesday,October
16928.0,United Kingdom,Tuesday,June
16048.0,United Kingdom,Tuesday,January
16274.0,United Kingdom,Tuesday,January
14496.0,United Kingdom,Tuesday,January
14696.0,United Kingdom,Thursday,May
16539.0,United Kingdom,Tuesday,January
17025.0,United Kingdom,Monday,October
17690.0,United Kingdom,Tuesday,January
12947.0,United Kingdom,Tuesday,April
18229.0,United Kingdom,Sunday,July
14142.0,United Kingdom,Tuesday,January
17069.0,United Kingdom,Friday,November
13065.0,United Kingdom,Tuesday,January
16835.0,United Kingdom,Tuesday,March
15235.0,United Kingdom,Thursday,December
13576.0,United Kingdom,Wednesday,June
18011.0,United Kingdom,Tuesday,January
13090.0,United Kingdom,Friday,June
15694.0,United Kingdom,Sunday,January
14741.0,United Kingdom,Monday,October
13715.0,United Kingdom,Sunday,May
17732.0,United Kingdom,Friday,February
12855.0,United Kingdom,Friday,February
17855.0,United Kingdom,Friday,February
14047.0,United Kingdom,Wednesday,January
13941.0,United Kingdom,Tuesday,February
14135.0,United Kingdom,Friday,June
13108.0,United Kingdom,Friday,February
15658.0,United Kingdom,Thursday,May
14388.0,United Kingdom,Friday,April
14901.0,United Kingdom,Thursday,August
15955.0,United Kingdom,Tuesday,November
16244.0,United Kingdom,Friday,February
15111.0,United Kingdom,Sunday,April
14390.0,United Kingdom,Friday,November
16546.0,United Kingdom,Tuesday,February
15260.0,United Kingdom,Wednesday,July
14491.0,United Kingdom,Friday,June
13305.0,United Kingdom,Thursday,August
15923.0,United Kingdom,Friday,February
16752.0,United Kingdom,Friday,February
17287.0,United Kingdom,Monday,July
15363.0,United Kingdom,Friday,February
12915.0,United Kingdom,Thursday,July
15738.0,United Kingdom,Monday,February
14180.0,United Kingdom,Monday,December
13117.0,United Kingdom,Friday,February
16916.0,United Kingdom,Wednesday,November
17964.0,United Kingdom,Thursday,August
14466.0,United Kingdom,Tuesday,April
17235.0,United Kingdom,Monday,November
16510.0,United Kingdom,Friday,February
15107.0,United Kingdom,Thursday,September
17976.0,United Kingdom,Friday,February
14449.0,United Kingdom,Friday,June
16781.0,United Kingdom,Friday,February
13491.0,United Kingdom,Wednesday,February
17685.0,United Kingdom,Friday,December
15732.0,United Kingdom,Saturday,November
13138.0,United Kingdom,Friday,September
17460.0,United Kingdom,Thursday,March
17567.0,United Kingdom,Thursday,February
16203.0,United Kingdom,Friday,December
15574.0,United Kingdom,Friday,February
16770.0,United Kingdom,Sunday,January
